"시도명","시군구명","운영방식","업체명","지원기준"
"서울","송파구","지정","위드로케어","○ 수급자, 차상위: 30만원 / ○ 일반 : 20만원"
"서울","송파구","지정","케이씨","○ 수급자, 차상위: 30만원 / ○ 일반 : 20만원"
"서울","송파구","지정","휠로피아","○ 수급자, 차상위: 30만원 / ○ 일반 : 20만원"
"서울","구로구","지정","현대케어","○ 수급자, 차상위: 30만원 / ○ 일반: 20만원"
"서울","양천구","지정","굿인","○ 수급자, 차상위: 30만원 / ○ 일반 : 30만원"
"서울","양천구","지정","알파케어","○ 수급자, 차상위: 30만원 / ○ 일반 : 30만원"
"서울","양천구","지정","액티피아","○ 수급자, 차상위: 30만원 / ○ 일반 : 30만원"
"서울","양천구","지정","케어존","○ 수급자, 차상위: 30만원 / ○ 일반 : 30만원"
"서울","양천구","지정","현대케어","○ 수급자, 차상위: 30만원 / ○ 일반 : 30만원"
"서울","양천구","지정","휠로피아","○ 수급자, 차상위: 30만원 / ○ 일반 : 30만원"
"서울","영등포구","지정","알파케어","○ 수급자, 차상위: 30만원 / ○ 일반: 15만원"
"서울","영등포구","지정","액티피아","○ 수급자, 차상위: 30만원 / ○ 일반: 15만원"
"서울","영등포구","지정","케어존","○ 수급자, 차상위: 30만원 / ○ 일반: 15만원"
"서울","영등포구","지정","케이디텍","○ 수급자, 차상위: 30만원 / ○ 일반: 15만원"
"서울","영등포구","지정","현대케어","○ 수급자, 차상위: 30만원 / ○ 일반: 15만원"
"서울","영등포구","지정","휠로피아","○ 수급자, 차상위: 30만원 / ○ 일반: 15만원"
"서울","용산구","지정","중증장애인독립생활연대","○ 수급자, 차상위: 35만원 / ○ 일반 : 25만원"
"서울","은평구","위탁","우리하나은평장애인자립생활센터","○ 수급자, 차상위: 30만원 / ○ 일반 : 10만원"
"서울","종로구","지정","액티피아","○ 수급자, 차상위: 30만원 / ○ 일반 : 10만원"
"서울","종로구","지정","휠로피아","○ 수급자, 차상위: 30만원 / ○ 일반 : 10만원"
"서울","중구","지정","알파케어","○ 수급자, 차상위: 30만원 / ○ 일반 : 30만원"
"서울","중구","지정","액티피아","○ 수급자, 차상위: 30만원 / ○ 일반 : 30만원"
"서울","중구","지정","엠코리아토탈서비스","○ 수급자, 차상위: 30만원 / ○ 일반 : 30만원"
"서울","중구","지정","케어런","○ 수급자, 차상위: 30만원 / ○ 일반 : 30만원"
"서울","중구","지정","케어존","○ 수급자, 차상위: 30만원 / ○ 일반 : 30만원"
"서울","중구","지정","휠로피아","○ 수급자, 차상위: 30만원 / ○ 일반 : 30만원"
"서울","중랑구","지정","광선메디칼","○ 수급자, 차상위: 30만원 / ○ 일반 : 10만원"
"서울","중랑구","지정","동아의료기","○ 수급자, 차상위: 30만원 / ○ 일반 : 10만원"
"서울","중랑구","지정","중랑구장애인이동기기수리센터","○ 수급자, 차상위: 30만원 / ○ 일반 : 10만원"
"서울","중랑구","지정","퍼스트케어","○ 수급자, 차상위: 30만원 / ○ 일반 : 10만원"
"부산","북구","권역별 운영(민간)","부산장애인자립생활센터","○ 1인당 연 40만원 이내 수리비 지원 / ○ 본인부담 비율 / - 수급자,차상위 : 무상 / - 자립생활장애인 : 10% / - 일반 장애인 : 20% / ○ 배터리:16만원"
"부산","사하구","권역별 운영(민간)","사하두바퀴장애인자립생활센터","○ 1인당 연 40만원 이내 수리비 지원 / ○ 본인부담 비율 / - 수급자,차상위 : 무상 / - 자립생활 장애인 : 10% / - 일반 장애인 : 20% / ○ 배터리 : 16만원"
"부산","금정구","권역별 운영(민간)","금정장애인자립생활센터","○ 1인당 연 40만원 이내 수리비 지원 / ○ 본인부담 비율 / - 수급자,차상위 : 무상 / - 자립생활 장애인 : 10% / - 일반 장애인 : 20% / ○ 배터리 : 16만원"
"부산","연제구","권역별 운영(민간)","부산장애인종합복지관","○ 1인당 연 40만원 이내 수리비 지원 / ○ 본인부담 비율 / - 수급자,차상위 : 무상 / - 자립생활 장애인 : 10% / - 일반 장애인 : 20% / ○ 배터리 : 16만원"
"대구","중구","위탁","대구광역시지체장애인협회","○ 기초수급자, 차상위: 30만원 / ○ 차상위 초과 : 20만원"
"대구","달서구","위탁","대구광역시 장애인재활협회","○ 기초수급자, 차상위: 30만원 / ○ 차상위 초과 : 20만원"
"인천","남동구","위탁","(사)인천광역시지체장애인협회","○ 수급자, 차상위: 30만원"
"인천","계양구","공모","이레케어","○ 수급자, 차상위, 유공자: 20만원 / ○ 일반장애인: 15만원"
"인천","계양구","공모","노란케어119","○ 수급자, 차상위, 유공자: 20만원 / ○ 일반장애인: 15만원"
"광주","서구","위탁","광주광역시지체장애인협회","○ 기초수급자, 차상위계층 : 수리비용 연간 30만원 이내(전액지원) / ○ 일반장애인 : 수리비용 연간 20만원 이내(1/2지원)"
"대전","동구","-","대전지체장애인협회","○ 수급자, 차상위: 30만원 / ○ 일반 : 5만원"
"대전","서구","업무협약","행복전동휠체어협동조합","○ 수급자, 차상위: 20만원 / ○ 일반 : 10만원"
"대전","중구","-","대전척수장애인협회","척수장애인무료"
"울산","울산 남구, 중구, 북구, 동구, 울주군","위탁","울산광역시보조기기서비스센터","○ 수급자, 차상위: 30만원 / ○ 일반 : 20만원"
"세종","세종특별자치시","위탁","휠체어 수리지원센터","○ 수급자, 차상위 : 20만원 / ○ 일반 : 10만원"
"경기","경기도전체","도 위탁사업","경기도장애인보장구수리지원센터","○ 무상수리 / ○ 미보유 부품 비용 자부담"
